id,city,zip,street,lat,lon,created_at,updated_at
590,Fort Bragg,95437,410 S. Franklin Street,39.437916,-123.8042,2012-10-23 04:11:06,2012-10-23 04:11:06
591,Whittier,90605,9338 S. Painter Avenue,33.9525092,-118.042978,2012-10-23 04:12:15,2012-10-23 04:12:15
592,Pittsburg,94565,1399 Buchanan Road,37.9989439,-121.8718588,2012-10-23 04:11:39,2012-10-23 04:11:39
593,San Mateo,94401,425 N. Amphlett Boulevard,37.5791824,-122.3234606,2012-10-23 04:11:54,2012-10-23 04:11:54
594,Tulare,93274,274 E Cross Avenue,36.2133793,-119.3464211,2012-10-23 04:12:07,2012-10-23 04:12:07
595,Lancaster,93534,1110 W. Avenue. I,34.703618,-118.149607,2012-10-23 04:11:21,2012-10-23 04:11:21
596,Oceanside,92056,4005 Plaza Drive,33.1830304,-117.2883704,2012-10-23 04:11:33,2012-10-23 04:11:33
597,Brawley,92227,1175 East Main Street,32.9788086,-115.5224142,2012-10-23 04:10:51,2012-10-23 04:10:51
598,Davis,95616,505 Pole Line Road,38.5488618,-121.7266269,2012-10-23 04:11:00,2012-10-23 04:11:00
599,Daly City,94015,1500 Sullivan Avenue,37.688975,-122.472765,2012-10-23 04:10:59,2012-10-23 04:10:59
601,Paradise,95967,5921 Clark Road,39.757437,-121.607671,2012-10-23 04:11:36,2012-10-23 04:11:36
602,Sacramento,95823,7775 La Mancha Way,38.4765923,-121.4268867,2012-10-23 04:11:47,2012-10-23 04:11:47
603,Coalinga,93210,406 East Elm Avenue,36.142984,-120.356557,2012-10-23 04:10:54,2012-10-23 04:10:54
604,Oakland,94621,501 85th Avenue,37.7396733,-122.1932233,2012-10-23 04:11:32,2012-10-23 04:11:32
605,Laguna Hills,92653,23535 Moulton Parkway,33.6206412,-117.7327903,2012-10-23 04:11:19,2012-10-23 04:11:19
606,Bellflower,90706,9520 East Artesia Blvd.,33.8746838,-118.1485993,2012-10-23 04:10:48,2012-10-23 04:10:48
607,Fullerton,92832,909 W. Valencia Drive,33.8668887,-117.940981,2012-10-23 04:11:09,2012-10-23 04:11:09
608,Torrance,90501,1785 W. 220th Street,33.8280048,-118.3111663,2012-10-23 04:12:05,2012-10-23 04:12:05
609,Hawthorne,90250,3700 W. El Segundo Boulevard,33.916422,-118.3373322,2012-10-23 04:11:13,2012-10-23 04:11:13
610,Inglewood,90302,621 N. La Brea Avenue,33.9702923,-118.3567091,2012-10-23 04:11:17,2012-10-23 04:11:17
611,Westminster,92683,13700 Hoover Street,33.764271,-117.998212,2012-10-23 04:12:14,2012-10-23 05:03:44
612,Rancho Cucamonga,91730,8629 Hellman Avenue,34.096867,-117.601589,2012-10-23 04:10:40,2012-10-23 04:10:40
613,Chula Vista,91910,30 N Glover Avenue,32.6524958,-117.0864115,2012-10-23 04:10:53,2012-10-23 04:10:53
614,El Cajon,92019,1901 Jamacha Road,32.7565613,-116.9272297,2012-10-23 04:11:42,2012-10-23 04:11:42
615,Delano,93215,631 Jefferson Street,35.7651635,-119.2436123,2012-10-23 04:11:00,2012-10-23 04:11:00
616,Santa Monica,90404,2235 Colorado Avenue,34.0281328,-118.4748104,2012-10-23 04:11:57,2012-10-23 04:11:57
617,Los Angeles,90031,3529 N. Mission Road,34.0673102,-118.2034558,2012-10-23 04:11:21,2012-10-23 04:11:21
618,West Covina,91790,800 So. Glendora Avenue,34.0609828,-117.9316263,2012-10-23 04:12:14,2012-10-23 04:12:14
619,San Pedro,90731,1511 N. Gaffey Street,33.75836,-118.2924777,2012-10-23 04:11:54,2012-10-23 04:11:54
620,Escondido,92025,725 N. Escondido Boulevard,33.1279214,-117.0888685,2012-10-23 04:11:03,2012-10-23 04:11:03
621,Fairfield,94533,160 Serrano Drive,38.2465073,-122.073629,2012-10-23 04:11:04,2012-10-23 04:11:04
622,Lodi,95240,1222 Pixley Parkway,38.1179441,-121.2522468,2012-10-23 04:11:22,2012-10-23 04:11:22
623,Gilroy,95020,6984 Chestnut Street Suite A,37.001571,-121.558105,2012-10-23 04:11:11,2012-10-23 04:11:11
624,Walnut Creek,94596,1910 N. Broadway,37.905259,-122.061056,2012-10-23 04:12:12,2012-10-23 04:12:12
625,Carmichael,95608,5209 North Avenue,38.6246773,-121.3435611,2012-10-23 04:10:52,2012-10-23 05:02:30
626,Redlands,92374,1659 W Lugonia Avenue,34.0704245,-117.2109473,2012-10-23 04:10:40,2012-10-23 04:10:40
627,Redway,95560,1180 Evergreen Road Suite A,40.120878,-123.800749,2012-10-23 04:11:10,2012-10-23 04:11:10
628,Costa Mesa,92627,650 W. 19th Street,33.6435798,-117.9257025,2012-10-23 04:10:57,2012-10-23 04:10:57
629,Victorville,92395,14850 La Paz Place,34.5213272,-117.3164037,2012-10-23 04:12:11,2012-10-23 04:12:11
630,Santa Paula,93060,250 W. Harvard Boulevard A,34.3449177,-119.076171,2012-10-23 04:11:58,2012-10-23 04:11:58
631,Pleasanton,94588,6300 W. Las Positas Boulevard,37.6801674,-121.9057062,2012-10-23 04:11:40,2012-10-23 05:03:11
632,Santa Clara,95051,3665 Flora Vista Avenue,37.3500816,-121.9939837,2012-10-23 04:11:56,2012-10-23 04:11:56
633,Reedley,93654,558 E. Dinuba Avenue,36.590124,-119.443312,2012-10-23 04:11:44,2012-10-23 04:11:44
634,Petaluma,94954,715 - J Southpoint Boulevard,38.2569609,-122.64531,2012-10-23 04:11:38,2012-10-23 04:11:38
635,Hemet,92543,1200 S. State Street,33.727792,-116.970199,2012-10-23 04:11:14,2012-10-23 05:02:49
636,Oxnard,93033,4050 Saviers Road,34.1624997,-119.1775703,2012-10-23 04:11:34,2012-10-23 04:11:34
637,Winnetka,91306,20725 Sherman Way,34.2014595,-118.5847969,2012-10-23 04:12:16,2012-10-23 04:12:16
638,Twentynine Palms,92277,3668 Adobe Road G-J,34.187055,-116.055045,2012-10-23 04:12:08,2012-10-23 04:12:08
639,Mt Shasta,96067,154 Morgan Way,41.3100787,-122.3169105,2012-10-23 04:11:29,2012-10-23 04:11:29
640,Los Gatos,95030,600 N. Santa Cruz Avenue,37.233984,-121.978101,2012-10-23 04:11:25,2012-10-23 04:11:25
641,Banning,92220,1034 W. Ramsey Street B,33.9250357,-116.8878324,2012-10-23 04:10:47,2012-10-23 04:10:47
642,Tracy,95304,2785 Auto Plaza Drive,37.7624046,-121.4676549,2012-10-23 04:12:06,2012-10-23 04:12:06
